id,x,y,z,tonn,blockvalue,destination,CU%,process_profit,Profit
301,31,10,16,12000,-9000,2,0,0,-9000
302,31,11,16,12000,-9000,2,0,0,-9000
303,31,12,16,16380,-12285,2,0,0,-12285
304,31,13,16,16380,-12285,2,0,0,-12285
305,31,14,16,16380,-12285,2,0,0,-12285
306,31,15,16,16380,-12285,2,0,0,-12285
307,31,16,16,16380,-12285,2,0,0,-12285
308,31,17,16,16380,-12285,2,0,0,-12285
309,32,4,16,16140,155213.1218,1,0.961,167318.1218,155213.1218
310,32,5,16,16140,148571.8279,1,0.944,160676.8279,148571.8279
311,32,6,16,16140,133568.4881,1,0.894,145673.4881,133568.4881
312,32,7,16,12000,-9000,2,0,0,-9000
313,32,8,16,12000,-9000,2,0,0,-9000
314,32,9,16,12000,-9000,2,0,0,-9000
315,32,10,16,12000,-9000,2,0,0,-9000
316,32,11,16,12000,-9000,2,0,0,-9000
317,32,12,16,12000,-9000,2,0,0,-9000
318,32,13,16,16380,-12285,2,0,0,-12285
319,32,14,16,16380,-12285,2,0,0,-12285
320,32,15,16,16380,-12285,2,0,0,-12285
321,32,16,16,16380,-12285,2,0,0,-12285
322,32,17,16,16380,-12285,2,0,0,-12285
323,32,18,16,16380,-12285,2,0,0,-12285
324,33,5,16,16140,134929.2107,1,0.879,147034.2107,134929.2107
325,33,6,16,16140,120207.6466,1,0.83,132312.6466,120207.6466
326,33,7,16,12000,-9000,2,0,0,-9000
327,33,8,16,12000,-9000,2,0,0,-9000
328,33,9,16,12000,-9000,2,0,0,-9000
329,33,10,16,12000,-9000,2,0,0,-9000
330,33,11,16,12000,-9000,2,0,0,-9000
331,33,12,16,12000,-9000,2,0,0,-9000
332,33,13,16,12000,-9000,2,0,0,-9000
333,33,14,16,16380,-12285,2,0,0,-12285
334,33,15,16,16380,-12285,2,0,0,-12285
335,33,16,16,16380,-12285,2,0,0,-12285
336,33,17,16,16380,-12285,2,0,0,-12285
337,33,18,16,16380,-12285,2,0,0,-12285
338,34,5,16,16260,128151.7294,1,0.876,140346.7294,128151.7294
339,34,6,16,16140,106131.8315,1,0.761,118236.8315,106131.8315
340,34,7,16,12000,-9000,2,0,0,-9000
341,34,8,16,12000,-9000,2,0,0,-9000
342,34,9,16,12000,-9000,2,0,0,-9000
343,34,10,16,12000,-9000,2,0,0,-9000
344,34,11,16,12000,-9000,2,0,0,-9000
345,34,12,16,12000,-9000,2,0,0,-9000
346,34,13,16,12000,-9000,2,0,0,-9000
347,34,14,16,12000,-9000,2,0,0,-9000
348,34,15,16,16380,-12285,2,0,0,-12285
349,34,16,16,16380,-12285,2,0,0,-12285
350,34,17,16,16380,-12285,2,0,0,-12285
351,34,18,16,16380,-12285,2,0,0,-12285
352,35,5,16,16260,121722.1876,1,0.851,133917.1876,121722.1876
353,35,6,16,16140,92905.85842,1,0.695,105010.8584,92905.85842
354,35,7,16,16140,74489.6069,1,0.629,86594.6069,74489.6069
355,35,8,16,12000,-9000,2,0,0,-9000
356,35,9,16,12000,-9000,2,0,0,-9000
357,35,10,16,12000,-9000,2,0,0,-9000
358,35,11,16,12000,-9000,2,0,0,-9000
359,35,12,16,12000,-9000,2,0,0,-9000
360,35,13,16,12000,-9000,2,0,0,-9000
361,35,14,16,12000,-9000,2,0,0,-9000
362,35,15,16,16380,-12285,2,0,0,-12285
363,35,16,16,16380,-12285,2,0,0,-12285
364,35,17,16,16380,-12285,2,0,0,-12285
365,35,18,16,16380,-12285,2,0,0,-12285
366,36,5,16,16260,84310.16618,1,0.659,96505.16618,84310.16618
367,36,6,16,16260,105785.4328,1,0.759,117980.4328,105785.4328
368,36,7,16,16140,40144.92955,1,0.483,52249.92955,40144.92955
369,36,8,16,12000,-9000,2,0,0,-9000
370,36,9,16,12000,-9000,2,0,0,-9000
371,36,10,16,12000,-9000,2,0,0,-9000
372,36,11,16,12000,-9000,2,0,0,-9000
373,36,12,16,12000,-9000,2,0,0,-9000
374,36,13,16,12000,-9000,2,0,0,-9000
375,36,14,16,12000,-9000,2,0,0,-9000
376,36,15,16,16380,-12285,2,0,0,-12285
377,36,16,16,16380,-12285,2,0,0,-12285
378,36,17,16,16380,-12285,2,0,0,-12285
379,36,18,16,16380,-12285,2,0,0,-12285
380,37,5,16,16380,-12285,2,0.016,0,-12285
381,37,6,16,16260,91905.51235,1,0.697,104100.5124,91905.51235
382,37,7,16,16260,94055.76793,1,0.708,106250.7679,94055.76793
383,37,8,16,12000,-9000,2,0,0,-9000
384,37,9,16,12000,-9000,2,0,0,-9000
385,37,10,16,12000,-9000,2,0,0,-9000
386,37,11,16,12000,-9000,2,0,0,-9000
387,37,12,16,12000,-9000,2,0,0,-9000
388,37,13,16,12000,-9000,2,0,0,-9000
389,37,14,16,12000,-9000,2,0,0,-9000
390,37,15,16,16380,-12285,2,0,0,-12285
391,37,16,16,16380,-12285,2,0,0,-12285
392,37,17,16,16380,-12285,2,0,0,-12285
393,37,18,16,16380,-12285,2,0,0,-12285
394,38,5,16,16380,-12285,2,0.017,0,-12285
395,38,6,16,16260,78455.94624,1,0.637,90650.94624,78455.94624
396,38,7,16,16260,81749.26516,1,0.652,93944.26516,81749.26516
397,38,8,16,16140,17081.81687,1,0.359,29186.81687,17081.81687
398,38,9,16,12000,-9000,2,0,0,-9000
399,38,10,16,12000,-9000,2,0,0,-9000
400,38,11,16,12000,-9000,2,0,0,-9000
401,38,12,16,12000,-9000,2,0,0,-9000
402,38,13,16,12000,-9000,2,0,0,-9000
403,38,14,16,12000,-9000,2,0,0,-9000
404,38,15,16,16380,-12285,2,0,0,-12285
405,38,16,16,16380,-12285,2,0,0,-12285
406,38,17,16,16380,-12285,2,0,0,-12285
407,38,18,16,16380,-12285,2,0,0,-12285
408,39,5,16,16380,-12285,2,0.018,0,-12285
409,39,6,16,16260,65862.54059,1,0.579,78057.54059,65862.54059
410,39,7,16,16260,69873.11673,1,0.599,82068.11673,69873.11673
411,39,8,16,16140,13387.12947,1,0.342,25492.12947,13387.12947
412,39,9,16,12000,-9000,2,0,0,-9000
413,39,10,16,12000,-9000,2,0,0,-9000
414,39,11,16,12000,-9000,2,0,0,-9000
415,39,12,16,12000,-9000,2,0,0,-9000
416,39,13,16,12000,-9000,2,0,0,-9000
417,39,14,16,12000,-9000,2,0,0,-9000
418,39,15,16,16380,-12285,2,0,0,-12285
419,39,16,16,16380,-12285,2,0,0,-12285
420,39,17,16,16380,-12285,2,0,0,-12285
421,40,5,16,16380,-12285,2,0.018,0,-12285
422,40,6,16,16380,-12285,2,0.018,0,-12285
423,40,7,16,16260,59141.5477,1,0.551,71336.5477,59141.5477
424,40,8,16,16140,12257.01667,1,0.339,24362.01667,12257.01667
425,40,9,16,12000,-9000,2,0,0,-9000
426,40,10,16,12000,-9000,2,0,0,-9000
427,40,11,16,12000,-9000,2,0,0,-9000
428,40,12,16,12000,-9000,2,0,0,-9000
429,40,13,16,12000,-9000,2,0,0,-9000
430,40,14,16,12000,-9000,2,0,0,-9000
431,40,15,16,16380,-12285,2,0,0,-12285
432,40,16,16,16380,-12285,2,0,0,-12285
433,41,5,16,16380,-12285,2,0.069,0,-12285
434,41,6,16,16380,-12285,2,0.076,0,-12285
435,41,7,16,16260,49411.10664,1,0.507,61606.10664,49411.10664
436,41,8,16,16140,9854.398285,1,0.332,21959.39829,9854.398285
437,41,9,16,12000,-9000,2,0,0,-9000
438,41,10,16,12000,-9000,2,0,0,-9000
439,41,11,16,12000,-9000,2,0,0,-9000
440,41,12,16,12000,-9000,2,0,0,-9000
441,41,13,16,12000,-9000,2,0,0,-9000
442,41,14,16,16380,-12285,2,0,0,-12285
443,41,15,16,16380,-12285,2,0,0,-12285
444,41,16,16,16380,-12285,2,0,0,-12285
445,42,5,16,16380,-12285,2,0.085,0,-12285
446,42,6,16,16380,-12285,2,0.093,0,-12285
447,42,7,16,16140,12837.12187,1,0.346,24942.12187,12837.12187
448,42,8,16,16140,8445.519473,1,0.33,20550.51947,8445.519473
449,42,9,16,12000,-9000,2,0,0,-9000
450,42,10,16,12000,-9000,2,0,0,-9000
451,42,11,16,12000,-9000,2,0,0,-9000
452,42,12,16,12000,-9000,2,0,0,-9000
453,42,13,16,12000,-9000,2,0,0,-9000
454,42,14,16,16380,-12285,2,0,0,-12285
455,42,15,16,16380,-12285,2,0,0,-12285
456,42,16,16,16380,-12285,2,0,0,-12285
457,43,5,16,16380,-12285,2,0.104,0,-12285
458,43,6,16,16380,-12285,2,0.11,0,-12285
459,43,7,16,16380,-12285,2,0.122,0,-12285
460,43,8,16,16140,8312.155992,1,0.333,20417.15599,8312.155992
461,43,9,16,12000,-9000,2,0,0,-9000
462,43,10,16,12000,-9000,2,0,0,-9000
463,43,11,16,12000,-9000,2,0,0,-9000
464,43,12,16,12000,-9000,2,0,0,-9000
465,43,13,16,16380,-12285,2,0,0,-12285
466,43,14,16,16380,-12285,2,0,0,-12285
467,43,15,16,16380,-12285,2,0,0,-12285
468,43,16,16,16380,-12285,2,0,0,-12285
469,44,5,16,16380,-12285,2,0.124,0,-12285
470,44,6,16,16380,-12285,2,0.127,0,-12285
471,44,7,16,16380,-12285,2,0.138,0,-12285
472,44,8,16,16140,8737.829396,1,0.334,20842.8294,8737.829396
473,44,9,16,12000,-9000,2,0,0,-9000
474,44,10,16,12000,-9000,2,0,0,-9000
475,44,11,16,12000,-9000,2,0,0,-9000
476,44,12,16,16380,-12285,2,0,0,-12285
477,44,13,16,16380,-12285,2,0,0,-12285
478,44,14,16,16380,-12285,2,0,0,-12285
479,44,15,16,16380,-12285,2,0,0,-12285
480,44,16,16,16380,-12285,2,0,0,-12285
481,45,5,16,16380,-12285,2,0.145,0,-12285
482,45,6,16,16380,-12285,2,0.145,0,-12285
483,45,7,16,16380,-12285,2,0.153,0,-12285
484,45,8,16,16140,10155.73749,1,0.34,22260.73749,10155.73749
485,45,9,16,12000,-9000,2,0,0,-9000
486,45,10,16,12000,-9000,2,0,0,-9000
487,45,11,16,12000,-9000,2,0,0,-9000
488,45,12,16,16380,-12285,2,0,0,-12285
489,45,13,16,16380,-12285,2,0,0,-12285
490,45,14,16,16380,-12285,2,0,0,-12285
491,45,15,16,16380,-12285,2,0,0,-12285
492,45,16,16,16380,-12285,2,0,0,-12285
493,46,5,16,16380,-12285,2,0.18,0,-12285
494,46,6,16,16380,-12285,2,0.181,0,-12285
495,46,7,16,16380,-12285,2,0.159,0,-12285
496,46,8,16,16380,-12285,2,0.155,0,-12285
497,46,9,16,12000,-9000,2,0,0,-9000
498,46,10,16,12000,-9000,2,0,0,-9000
499,46,11,16,12000,-9000,2,0,0,-9000
500,46,12,16,16380,-12285,2,0,0,-12285
501,46,13,16,16380,-12285,2,0,0,-12285
502,46,14,16,16380,-12285,2,0,0,-12285
503,46,15,16,16380,-12285,2,0,0,-12285
504,46,16,16,16380,-12285,2,0,0,-12285
505,47,5,16,16380,-12285,2,0.196,0,-12285
506,47,6,16,16380,-12285,2,0.194,0,-12285
507,47,7,16,16380,-12285,2,0.173,0,-12285
508,47,8,16,16380,-12285,2,0.166,0,-12285
509,47,9,16,15360,-11520,2,0,0,-11520
510,47,10,16,12000,-9000,2,0,0,-9000
511,47,11,16,12000,-9000,2,0,0,-9000
512,47,12,16,16380,-12285,2,0,0,-12285
513,47,13,16,16380,-12285,2,0,0,-12285
514,47,14,16,16380,-12285,2,0,0,-12285
515,47,15,16,16380,-12285,2,0,0,-12285
516,47,16,16,16380,-12285,2,0,0,-12285
517,47,17,16,16380,-12285,2,0,0,-12285
518,48,5,16,16380,-12285,2,0.207,0,-12285
519,48,6,16,16380,-12285,2,0.202,0,-12285
520,48,7,16,16380,-12285,2,0,0,-12285
521,48,8,16,16380,-12285,2,0.193,0,-12285
522,48,9,16,15360,-11520,2,0,0,-11520
